iteration,epoch,batch,event,split,loss,learning_rate,total_processed_tokens,elapsed_seconds
100,1,100,batch,train,2.84491569,0.001,6553600,259.977
100,1,100,batch,val,2.76171870,0.001,6553600,259.978
200,1,200,batch,train,2.30990911,0.001,13107200,640.276
200,1,200,batch,val,2.27191620,0.001,13107200,640.277
300,1,300,batch,train,2.08961838,0.001,19660800,1007.491
300,1,300,batch,val,2.06602263,0.001,19660800,1007.492
400,1,400,batch,train,1.98409209,0.001,26214400,1700.074
400,1,400,batch,val,1.94028378,0.001,26214400,1700.075
500,1,500,batch,train,1.86299190,0.001,32768000,2444.607
500,1,500,batch,val,1.84339013,0.001,32768000,2444.609
600,1,600,batch,train,1.79819056,0.001,39321600,3195.777
600,1,600,batch,val,1.80228071,0.001,39321600,3195.778
700,1,700,batch,train,1.75780860,0.001,45875200,3721.088
700,1,700,batch,val,1.78471705,0.001,45875200,3721.089
700,1,8383,epoch,train,2.28164539,0.001,45875200,3725.787
700,1,8383,epoch,val,1.78061213,0.001,45875200,3725.788
